Country,Population
China,"1,409,670,000"
India,"1,392,329,000"
United States,"335,893,238"
Indonesia,"279,118,866"
Pakistan,"241,499,431"
Nigeria,"216,783,381"
Brazil,"203,080,756"
Bangladesh,"169,828,911"
Russia,"146,424,729"
Mexico,"129,406,736"
Japan,"124,240,000"
Philippines,"112,892,781"
Ethiopia,"107,334,000"
Egypt,"104,462,545"
Vietnam,"100,300,000"
Democratic Republic of the Congo,"95,370,000"
Turkey,"85,279,553"
Germany,"84,607,016"
Iran,"84,055,000"
France,"68,373,000"
Thailand,"68,263,022"
United Kingdom,"67,026,292"
South Africa,"62,027,503"
Tanzania,"61,741,120"
Italy,"58,919,345"
Myanmar,"55,770,232"
Colombia,"52,215,503"
Kenya,"51,526,000"
South Korea,"51,439,038"
Spain,"48,446,594"
Argentina,"46,654,581"
Uganda,"45,562,000"
Algeria,"45,400,000"
Iraq,"43,324,000"
Sudan,"41,984,500"
Canada,"40,528,396"
Poland,"37,667,000"
Morocco,"37,022,000"
Ukraine,"36,700,000"
Uzbekistan,"36,599,764"
Afghanistan,"34,262,840"
Angola,"34,094,077"
Peru,"33,396,698"
Malaysia,"33,379,500"
Mozambique,"32,419,747"
Saudi Arabia,"32,175,224"
Yemen,"31,888,698"
Ghana,"30,832,019"
Ivory Coast,"29,389,150"
Nepal,"29,164,578"
Venezuela,"28,302,000"
Cameroon,"28,088,845"
Madagascar,"26,923,353"
Australia,"26,461,912"
North Korea,"25,660,000"
Niger,"25,369,415"
Taiwan,"23,399,654"
Syria,"22,923,000"
Burkina Faso,"22,752,315"
Mali,"22,395,489"
Sri Lanka,"22,037,000"
Malawi,"21,507,723"
Kazakhstan,"20,014,575"
Chile,"19,960,889"
Zambia,"19,610,769"
Romania,"19,051,562"
Senegal,"18,275,743"
Somalia,"18,143,379"
Netherlands,"17,811,291"
Guatemala,"17,602,431"
Chad,"17,414,717"
Cambodia,"17,091,464"
Ecuador,"16,938,986"
Zimbabwe,"15,178,979"
South Sudan,"14,746,494"
Guinea,"13,261,638"
Rwanda,"13,246,394"
Burundi,"12,837,740"
Benin,"12,606,998"
Bolivia,"12,006,031"
Tunisia,"11,850,232"
Papua New Guinea,"11,781,559"
Belgium,"11,801,722"
Haiti,"11,743,017"
Jordan,"11,302,000"
Cuba,"11,089,511"
Czech Republic,"10,882,235"
Dominican Republic,"10,760,028"
Sweden,"10,558,012"
Portugal,"10,467,366"
Greece,"10,413,982"
Azerbaijan,"10,151,517"
Tajikistan,"10,077,600"
Israel,"9,827,000"
Honduras,"9,745,149"
Hungary,"9,597,085"
United Arab Emirates,"9,282,410"
Belarus,"9,200,617"
Austria,"9,154,514"
Switzerland,"8,931,306"
Sierra Leone,"8,494,260"
Togo,"8,095,498"
Hong Kong(China),"7,498,100"
Laos,"7,443,000"
Kyrgyzstan,"7,100,000"
Turkmenistan,"7,057,841"
Libya,"6,931,061"
El Salvador,"6,884,888"
Nicaragua,"6,733,763"
Serbia,"6,641,197"
Bulgaria,"6,447,710"
Republic of the Congo,"6,142,180"
Paraguay,"6,109,644"
Denmark,"5,959,464"
Singapore,"5,917,600"
Central African Republic,"5,633,412"
Finland,"5,572,545"
Norway,"5,533,582"
Lebanon,"5,490,000"
Palestine,"5,483,450"
Slovakia,"5,426,468"
Ireland,"5,281,600"
Costa Rica,"5,262,225"
Liberia,"5,248,621"
New Zealand,"5,223,100"
Oman,"5,113,071"
Kuwait,"4,670,713"
Mauritania,"4,475,683"
Panama,"4,337,406"
Croatia,"3,855,641"
Eritrea,"3,748,902"
Georgia,"3,736,400"
Mongolia,"3,457,548"
Uruguay,"3,444,263"
Bosnia and Herzegovina,"3,277,082"
Puerto Rico(US),"3,205,691"
Armenia,"2,981,200"
Lithuania,"2,886,515"
Jamaica,"2,825,544"
Albania,"2,761,785"
Qatar,"2,656,032"
Namibia,"2,641,857"
Moldova,"2,512,758"
Gambia,"2,417,471"
Botswana,"2,410,338"
Lesotho,"2,306,000"
Gabon,"2,233,272"
Slovenia,"2,120,937"
Latvia,"1,874,700"
North Macedonia,"1,832,696"
Guinea-Bissau,"1,781,308"
Kosovo,"1,762,220"
Bahrain,"1,577,059"
Equatorial Guinea,"1,558,160"
Estonia,"1,366,491"
Trinidad and Tobago,"1,365,805"
East Timor,"1,354,662"
Mauritius,"1,261,041"
Eswatini,"1,223,362"
Djibouti,"1,001,454"
Cyprus,"918,100"
Fiji,"893,468"
Bhutan,"770,276"
Comoros,"758,316"
Guyana,"743,699"
Solomon Islands,"734,887"
Macau(China),"681,300"
Luxembourg,"660,809"
Montenegro,"616,695"
Suriname,"616,500"
[disputed–discuss]Western Sahara,"587,259"
Malta,"519,562"
Cape Verde,"491,233"
Brunei,"445,400"
Belize,"441,471"
Bahamas,"397,360"
Iceland,"396,960"
Northern Cyprus,"382,836"
Maldives,"382,751"
Transnistria,"360,938"
Vanuatu,"301,295"
French Polynesia(France),"279,890"
New Caledonia(France),"268,510"
Barbados,"267,800"
Abkhazia,"244,236"
São Tomé and Príncipe,"214,610"
Samoa,"205,557"
Saint Lucia,"178,696"
Guam(US),"153,836"
Curacao(Netherlands),"148,925"
Kiribati,"120,740"
Grenada,"112,579"
Saint Vincent and the Grenadines,"110,872"
Aruba(Netherlands),"106,739"
Micronesia,"105,754"
Jersey(UK),"103,267"
Antigua and Barbuda,"100,772"
Seychelles,"100,447"
Tonga,"100,179"
U.S. Virgin Islands(US),"87,146"
Isle of Man(UK),"84,069"
Andorra,"83,523"
Cayman Islands(UK),"71,105"
Dominica,"67,408"
Guernsey(UK),"64,234"
Bermuda(UK),"64,055"
Greenland(Denmark),"56,865"
South Ossetia,"56,520"
Faroe Islands(Denmark),"54,738"
American Samoa(US),"49,710"
Northern Mariana Islands(US),"47,329"
Saint Kitts and Nevis,"47,195"
Turks and Caicos Islands(UK),"46,131"
Sint Maarten(Netherlands),"42,938"
Marshall Islands,"42,418"
Liechtenstein,"39,724"
Monaco,"39,050"
Gibraltar(UK),"34,003"
San Marino,"33,889"
Saint Martin(France),"32,358"
British Virgin Islands(UK),"31,538"
Åland(Finland),"30,530"
Palau,"16,733"
Anguilla(UK),"15,701"
Cook Islands,"15,040"
Nauru,"11,680"
Wallis and Futuna(France),"11,369"
Tuvalu,"10,679"
Saint Barthélemy(France),"10,585"
Saint Pierre and Miquelon(France),"6,092"
"Saint Helena, Ascension and Tristan da Cunha(UK)","5,651"
Montserrat(UK),"4,433"
Falkland Islands(UK),"3,662"
Norfolk Island(Australia),"2,188"
Christmas Island(Australia),"1,692"
Niue(NZ),"1,689"
Tokelau(NZ),"1,647"
Vatican City,764
Cocos (Keeling) Islands(Australia),593
Pitcairn Islands(UK),47
